TEAM_ID,TEAM_NAME,GAME_DATE,MATCHUP,PTS,FGM,FGA,FG_PCT
1611661330,Atlanta Dream,2026-07-02T00:00:00,ATL @ WAS,76,29,79,0.367
1611661328,Seattle Storm,2026-07-02T00:00:00,SEA @ PHX,67,26,62,0.419
1611661331,Golden State Valkyries,2026-06-28T00:00:00,GSV vs. NYL,76,28,65,0.431
1611661319,Las Vegas Aces,2026-06-28T00:00:00,LVA @ CHI,107,33,63,0.524
1611661324,Minnesota Lynx,2026-06-28T00:00:00,MIN @ DAL,85,31,72,0.431
1611661322,Washington Mystics,2026-06-28T00:00:00,WAS vs. PDX,124,42,98,0.429
1611661327,Portland Fire,2026-06-28T00:00:00,PDX @ WAS,123,45,101,0.446
1611661329,Chicago Sky,2026-06-28T00:00:00,CHI vs. LVA,99,37,80,0.463
1611661321,Dallas Wings,2026-06-28T00:00:00,DAL vs. MIN,77,28,74,0.378
1611661313,New York Liberty,2026-06-28T00:00:00,NYL @ GSV,67,21,52,0.404
1611661325,Indiana Fever,2026-06-27T00:00:00,IND vs. LAS,111,37,67,0.552
1611661328,Seattle Storm,2026-06-27T00:00:00,SEA vs. ATL,105,38,63,0.603
1611661317,Phoenix Mercury,2026-06-27T00:00:00,PHX @ TOR,89,29,67,0.433
1611661332,Toronto Tempo,2026-06-27T00:00:00,TOR vs. PHX,80,31,67,0.463
1611661330,Atlanta Dream,2026-06-27T00:00:00,ATL @ SEA,90,30,70,0.429
1611661320,Los Angeles Sparks,2026-06-27T00:00:00,LAS @ IND,87,33,77,0.429
1611661329,Chicago Sky,2026-06-26T00:00:00,CHI vs. PDX,124,45,68,0.662
1611661323,Connecticut Sun,2026-06-26T00:00:00,CON vs. WAS,68,28,68,0.412
1611661331,Golden State Valkyries,2026-06-26T00:00:00,GSV vs. ATL,78,27,62,0.435
1611661330,Atlanta Dream,2026-06-26T00:00:00,ATL @ GSV,75,23,67,0.343
1611661322,Washington Mystics,2026-06-26T00:00:00,WAS @ CON,57,19,55,0.345
1611661327,Portland Fire,2026-06-26T00:00:00,PDX @ CHI,94,32,79,0.405
1611661332,Toronto Tempo,2026-06-25T00:00:00,TOR vs. LAS,125,41,80,0.513
1611661319,Las Vegas Aces,2026-06-25T00:00:00,LVA vs. DAL,99,32,60,0.533
1611661328,Seattle Storm,2026-06-25T00:00:00,SEA vs. NYL,99,39,75,0.52
1611661313,New York Liberty,2026-06-25T00:00:00,NYL @ SEA,88,32,71,0.451
1611661321,Dallas Wings,2026-06-25T00:00:00,DAL @ LVA,84,34,70,0.486
1611661320,Los Angeles Sparks,2026-06-25T00:00:00,LAS @ TOR,97,33,77,0.429
1611661329,Chicago Sky,2026-06-24T00:00:00,CHI vs. PDX,101,36,69,0.522
1611661331,Golden State Valkyries,2026-06-24T00:00:00,GSV vs. ATL,77,27,60,0.45
1611661317,Phoenix Mercury,2026-06-24T00:00:00,PHX @ IND,111,39,66,0.591
1611661324,Minnesota Lynx,2026-06-24T00:00:00,MIN @ WAS,78,27,71,0.38
1611661325,Indiana Fever,2026-06-24T00:00:00,IND vs. PHX,109,39,66,0.591
1611661322,Washington Mystics,2026-06-24T00:00:00,WAS vs. MIN,76,26,61,0.426
1611661330,Atlanta Dream,2026-06-24T00:00:00,ATL @ GSV,66,25,64,0.391
1611661327,Portland Fire,2026-06-24T00:00:00,PDX @ CHI,78,26,69,0.377
1611661313,New York Liberty,2026-06-23T00:00:00,NYL @ LVA,87,30,65,0.462
1611661319,Las Vegas Aces,2026-06-23T00:00:00,LVA vs. NYL,76,31,72,0.431
1611661323,Connecticut Sun,2026-06-22T00:00:00,CON vs. CHI,92,34,67,0.507
1611661325,Indiana Fever,2026-06-22T00:00:00,IND vs. PHX,86,27,64,0.422
1611661330,Atlanta Dream,2026-06-22T00:00:00,ATL vs. TOR,94,34,78,0.436
